source_strength,heat_output,time_period,detected
350,0,April_19,2
350,3,April_19,4
350,5,April_19,1
350,10,April_19,2
350,15,April_19,1
350,20,April_19,1
350,0,August_19,0
350,3,August_19,0
350,5,August_19,0
350,10,August_19,0
350,15,August_19,0
350,20,August_19,0
350,0,January_20,5
350,3,January_20,4
350,5,January_20,2
350,10,January_20,4
350,15,January_20,7
350,20,January_20,6
350,0,March_20,1
350,3,March_20,0
350,5,March_20,0
350,10,March_20,0
350,15,March_20,0
350,20,March_20,0
350,0,August_20,6
350,3,August_20,6
350,5,August_20,4
350,10,August_20,2
350,15,August_20,2
350,20,August_20,2
350,0,October_20,1
350,3,October_20,0
350,5,October_20,1
350,10,October_20,1
350,15,October_20,1
350,20,October_20,1
2000,0,April_19,5
2000,3,April_19,5
2000,5,April_19,1
2000,10,April_19,1
2000,15,April_19,1
2000,20,April_19,1
2000,0,August_19,0
2000,3,August_19,0
2000,5,August_19,0
2000,10,August_19,0
2000,15,August_19,0
2000,20,August_19,0
2000,0,January_20,2
2000,3,January_20,3
2000,5,January_20,4
2000,10,January_20,2
2000,15,January_20,3
2000,20,January_20,3
2000,0,March_20,1
2000,3,March_20,1
2000,5,March_20,0
2000,10,March_20,0
2000,15,March_20,0
2000,20,March_20,0
2000,0,August_20,11
2000,3,August_20,7
2000,5,August_20,5
2000,10,August_20,4
2000,15,August_20,3
2000,20,August_20,2
2000,0,October_20,1
2000,3,October_20,2
2000,5,October_20,1
2000,10,October_20,1
2000,15,October_20,1
2000,20,October_20,1